Raz�o Social,Fundo,Segmento,Codigo
RIO BRAVO CREDITO IMOB HIGH GRADE FUND DE INVEST,FII RBCRI IV,,RBHG
RIO BRAVO CR�DITO IMOB. HIGH YIELD FDO. INV. IMOB.,FII RB YIELD,,RBHY
RIO BRAVO CR�DITO IMOBILI�RIO II FDO INV IMOB -FII,FII RIOBCRI2,,RBVO
RIO BRAVO FUNDO DE FUNDOS DE INVESTIMENTO IMOB,FII RIOB FF,,RBFF
RIO BRAVO RENDA RESIDENCIAL FDO. INVEST. IMOB.,FII RIOB RR,,RBRS
RIZA AKIN FDO. INV. IMOB. FII,FII RIZA AKN,,RZAK
RIZA ARCTIUM REAL ESTATE FDO INV IMOB,FII ARCTIUM,,ARCT
SANTANDER PAPEIS IMOB CDI FDO INV IMOB,FII SANT PAP,,SADI
SANTANDER RENDA DE ALUGU�IS FDO. INVEST. IMOB.,FII SANT REN,,SARE
S�O CARLOS RENDA IMOBILI�RIA FDO. INV. IMOB.,FII S CARLOS,,SACL
SAO DOMINGOS FDO INV IMOB - FII,FII DOMINGOS,,FISD
S�O FRANCISCO 34 FUNDO DE INVESTIMENTO IMOBILI�RIO,FII SAO FRAN,,SFRO
SEQUOIA III RENDA IMOBILI�RIA - FDO. INV. IMOB.,FII SEQUOIA,,SEQR
SHOPPING WEST PLAZA FDO INV IMOB,FII W PLAZA,,WPLZ
SIG CAPITAL RECEB�VEIS PULVERIZADOS FDO INV IMOB,FII SIG CAP,,SIGR
SINGULARE FDO INV IMOB - FII,FII REIT RIV,,REIT
SJ AU LOG�STICA FDO. INV. IMOB.,FII SJ AU,,SJAU
SOLARIUM FII - FDO INV. IMOB.,FII SOLARIUM,,SOLR
SP DOWNTOWN FDO INV IMOB - FII,FII SP DOWNT,,SPTW
SPA FDO INV IMOB - FII,FII SPA,,SPAF
STARX FDO INV IMOB - FII,FII STARX,,STRX
SUNO FUNDO DE FUNDOS DE INVESTIMENTO IMOBILI�RIO,FII SUNOFOFI,,SNFF
SUNO RECEB�VEIS IMOBILI�RIOS FDO DE INV IMOB,FII SUNO CRI,,SNCI
TELLUS DESENVOLVIMENTO LOG�STICO FDO. INVEST. IMOB,FII TELLUS,,TELD
TELLUS FUNDO DE FUNDOS - FII FDO DE INV IMOB,FII TELF,,TELF
TELLUS PROPERTIES - FDO INV. IMOB,FII TEL PROP,,TEPP
TISHMAN SPEYER RENDA CORPORATIVA FDO. INV. IMOB.,FII TISHMAN,,TSER
TJK RENDA IMOBILI�RIA FDO INV IMOB,FII TJK REND,,TJKB
TORDESILHAS EI FDO. INV. IMOB.,FII TORDE EI,,TORD
TRANSINC FDO INV IMOB - FII,FII TRANSINC,,TSNC
TREECORP REAL ESTATE FDO INV IMOB - I,FII TREECORP,,TCPF
TRX EDIF�CIOS CORPORATIVOS FDO INV IMOB - FII,FII TRXE COR,,XTED
TRX REAL ESTATE FDO. INV. IMOB. - FII,FII TRX REAL,,TRXF
TRX REAL ESTATE II FDO. INVEST. IMOB.,FII TRX R II,,TRXB
TS NEW MARGINAL - FDO. INV. IMOB.,FII TS NEW,,TSNM
URCA PRIME RENDA FUNDO DE INVESTIMENTO IMOBILI�RIO,FII URCA REN,,URPR
VALORA CRI �NDICE DE PRE�O FDO INVEST. IMOB. FII,FII VALORAIP,,VGIP
VALORA HEDGE FUND FDO. INV. IMOB.,FII VALOR HE,,VGHF
VALORA RE III FDO INV IMOB - FII,FII VALREIII,,VGIR
VBI CONSUMO ESSEN FDO. INVEST. IMOB.,FII VBI CON,,EVBI
VBI REITS FOF - FDO. INV. IMOB,FII VBI REIT,,RVBI
VECTIS JUROS REAL FDO INV. IMOB. - FII,FII VECTIS,,VCJR
VECTIS RENDA RESIDENCIAL FDO. INV. IMOB.,FII VECT REN,,VCRR
VECTOR QUELUZ ATIVOS IMOB FDO INV IMOB,FII VQ LAJES,,VLJS
VENUS - FUNDO DE INVESTIMENTO IMOBILI�RIO,FII VENUS,,SALI
VERSALHES RECEB�VEIS IMOBILI�RIOS - FDO. INV. IMOB,FII VERS CRI,,VSLH
VIC DESENVOLVIMENTO VINTAGE 20/21 FUND INVEST IMOB,FII VIC DES,,VIDS
VINCI IM�VEIS URBANOS FDO. DE INV. IMOB.,FII VINCI IU,,VIUR
VINCI INSTRUMENTOS FINANCEIROS FDO INV IMOB - FII,FII VINCI IF,,VIFI
VINCI LOG�STICA FDO INV IMOB - FII,FII VINCI LG,,VILG
VINCI OFFICES FDO INV IMOB,FII VINCI OF,,VINO
VINCI SHOPPING CENTERS FDO INVEST IMOB - FII,FII VINCI SC,,VISC
VOTORANTIM SECURITIES MASTER FDO INV IMOB - FII,FII V MASTER,,VOTS
VX XVI - FDO INV. IMOB.,FII VX XVI,,VXXV
XP CORPORATE MACA� FDO INV IMOB - FII,FII XP MACAE,,XPCM
XP CREDITO IMOBILI�RIO - FDO INV IMOB,FII XP CRED,,XPCI
XP HOT�IS - FDO INV IMOB - FII,FII XP HOT,,XPHT
XP INDUSTRIAL FDO INV IMOB - FII,FII XP INDL,,XPIN
XP LOG FDO INV IMOB - FII,FII XP LOG,,XPLG
XP MALLS FDO INV IMOB FII,FII XP MALLS,,XPML
XP PROPERTIES FDO. INV. IMOB.,FII XP PROP,,XPPR
XP SELECTION FDO DE FUNDOS INV IMOB - FII,FII XP SELEC,,XPSF
YUCA FDO INV. IMOB.,FII YUCA,,YUFI
ZION CAPITAL FUNDO DE INVESTIMENTO IMOBILI�RIO FII,FII ZION,,ZIFI
